seq,t_utc,t_ms,participant,phase,trial_index,trial_id,event,detail,target_emotion,shape,room_id,hue,saturation,brightness,texture,head_x,head_y,head_z,head_yaw,head_pitch,head_roll,pointer_x,pointer_y,valence,arousal,value_a,value_b,note
1,2026-08-02T14:03:11+00:00,0,p01,,,,session_start,log opened,,,,,,,,,,,,,,,,,,,,unity=6000.3.19f1 platform=Android device=Quest3 pools_hue=0|30|60|90|120|180|240|270|300|330 pools_sat=0.2|0.4 pools_lux=30|100|300|700|900 pools_tex=plaster|concrete|textile wall_value=1 albedo_ceiling=0.85
2,2026-08-02T14:03:11.805000+00:00,805,p01,A,,,session_begin,trial runner starting,,,,,,,,,,,,,,,,,,p01,8,
3,2026-08-02T14:03:12.062000+00:00,1062,p01,A,1,calm_demo_001_curved,trial_start,,calm,curved,calm_demo_001,240,0.2,100,plaster,,,,,,,,,,,,,
4,2026-08-02T14:03:12.157000+00:00,1157,p01,A,1,calm_demo_001_curved,room_shown,exposure begins,calm,curved,calm_demo_001,240,0.2,100,plaster,,,,,,,,,,,,,
5,2026-08-02T14:03:12.247000+00:00,1247,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0032,1.6,1.3,1.6439,-4.1762,-0.8138,,,,,,,
6,2026-08-02T14:03:12.345000+00:00,1345,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0115,1.6,1.3,356.8092,-1.3265,0.6437,,,,,,,
7,2026-08-02T14:03:12.447000+00:00,1447,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0129,1.6,1.3,353.6505,-7.7026,1.8356,,,,,,,
8,2026-08-02T14:03:12.545000+00:00,1545,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0148,1.6,1.3,345.637,4.6427,-0.4461,,,,,,,
9,2026-08-02T14:03:12.643000+00:00,1643,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0101,1.6,1.3,348.1703,3.2675,-1.0709,,,,,,,
10,2026-08-02T14:03:12.742000+00:00,1742,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0145,1.6,1.3,348.5435,-4.9945,0.5491,,,,,,,
11,2026-08-02T14:03:12.841000+00:00,1841,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0141,1.6,1.3,346.3884,-1.7404,2.1244,,,,,,,
12,2026-08-02T14:03:12.939000+00:00,1939,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0201,1.6,1.3,339.9745,-0.8204,0.61,,,,,,,
13,2026-08-02T14:03:13.038000+00:00,2038,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0197,1.6,1.3,344.1906,-6.7614,1.3685,,,,,,,
14,2026-08-02T14:03:13.138000+00:00,2138,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.021,1.6,1.3,339.9115,-9.4408,-1.6174,,,,,,,
15,2026-08-02T14:03:13.239000+00:00,2239,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0293,1.6,1.3,335.4759,1.415,0.4998,,,,,,,
16,2026-08-02T14:03:13.341000+00:00,2341,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0306,1.6,1.3,337.0762,-10.3191,-0.0704,,,,,,,
17,2026-08-02T14:03:13.441000+00:00,2441,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0301,1.6,1.3,340.6521,-5.8934,-1.0418,,,,,,,
18,2026-08-02T14:03:13.541000+00:00,2541,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0336,1.6,1.3,339.2452,-1.2521,0.3223,,,,,,,
19,2026-08-02T14:03:13.641000+00:00,2641,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0338,1.6,1.3,341.5252,-4.4248,-2.3659,,,,,,,
20,2026-08-02T14:03:13.740000+00:00,2740,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0367,1.6,1.3,331.7963,-0.3968,0.8399,,,,,,,
21,2026-08-02T14:03:13.841000+00:00,2841,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0328,1.6,1.3,321.5065,-7.3863,0.0771,,,,,,,
22,2026-08-02T14:03:13.942000+00:00,2942,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0276,1.6,1.3,324.7595,-5.9346,0.503,,,,,,,
23,2026-08-02T14:03:14.040000+00:00,3040,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0209,1.6,1.3,329.3409,-3.9291,-1.9309,,,,,,,
24,2026-08-02T14:03:14.142000+00:00,3142,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0266,1.6,1.3,334.1427,-11.0612,-0.7249,,,,,,,
25,2026-08-02T14:03:14.242000+00:00,3242,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0322,1.6,1.3,336.0159,2.1055,-0.8452,,,,,,,
26,2026-08-02T14:03:14.340000+00:00,3340,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0297,1.6,1.3,343.9362,0.2623,0.0775,,,,,,,
27,2026-08-02T14:03:14.438000+00:00,3438,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0321,1.6,1.3,342.1747,-5.7428,0.0082,,,,,,,
28,2026-08-02T14:03:14.537000+00:00,3537,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0344,1.6,1.3,340.5129,-0.2877,2.4037,,,,,,,
29,2026-08-02T14:03:14.636000+00:00,3636,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0358,1.6,1.3,339.3569,6.1702,-1.2141,,,,,,,
30,2026-08-02T14:03:14.734000+00:00,3734,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.038,1.6,1.3,329.6221,-1.1153,1.3237,,,,,,,
31,2026-08-02T14:03:14.834000+00:00,3834,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0426,1.6,1.3,324.7227,-4.9812,2.694,,,,,,,
32,2026-08-02T14:03:14.936000+00:00,3936,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0425,1.6,1.3,335.5175,-4.1108,0.2927,,,,,,,
33,2026-08-02T14:03:15.037000+00:00,4037,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0476,1.6,1.3,337.5149,2.5084,-1.8605,,,,,,,
34,2026-08-02T14:03:15.136000+00:00,4136,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0535,1.6,1.3,324.4221,2.9465,-2.0555,,,,,,,
35,2026-08-02T14:03:15.238000+00:00,4238,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0524,1.6,1.3,312.9247,1.5147,-0.7667,,,,,,,
36,2026-08-02T14:03:15.336000+00:00,4336,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0465,1.6,1.3,309.8346,-7.1654,0.415,,,,,,,
37,2026-08-02T14:03:15.435000+00:00,4435,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0404,1.6,1.3,310.5392,-3.8578,0.0568,,,,,,,
38,2026-08-02T14:03:15.533000+00:00,4533,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0469,1.6,1.3,310.8273,-8.4381,-0.5303,,,,,,,
39,2026-08-02T14:03:15.633000+00:00,4633,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0475,1.6,1.3,303.3585,-5.6048,0.2191,,,,,,,
40,2026-08-02T14:03:15.733000+00:00,4733,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0481,1.6,1.3,297.7462,0.2013,1.8697,,,,,,,
41,2026-08-02T14:03:15.832000+00:00,4832,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0458,1.6,1.3,294.754,-3.5798,1.4283,,,,,,,
42,2026-08-02T14:03:15.931000+00:00,4931,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0513,1.6,1.3,289.8804,-0.3905,-1.1006,,,,,,,
43,2026-08-02T14:03:16.033000+00:00,5033,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0529,1.6,1.3,294.1589,0.1518,-0.7634,,,,,,,
44,2026-08-02T14:03:16.133000+00:00,5133,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.06,1.6,1.3,293.8696,-8.1171,1.2312,,,,,,,
45,2026-08-02T14:03:16.235000+00:00,5235,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0715,1.6,1.3,294.7709,6.0735,-0.3903,,,,,,,
46,2026-08-02T14:03:16.337000+00:00,5337,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0692,1.6,1.3,292.2482,-8.3193,1.6789,,,,,,,
47,2026-08-02T14:03:16.437000+00:00,5437,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0705,1.6,1.3,289.7198,0.667,0.3544,,,,,,,
48,2026-08-02T14:03:16.535000+00:00,5535,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0731,1.6,1.3,282.4515,-4.1505,-0.1055,,,,,,,
49,2026-08-02T14:03:16.635000+00:00,5635,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0758,1.6,1.3,286.0574,3.7214,-3.7946,,,,,,,
50,2026-08-02T14:03:16.733000+00:00,5733,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0752,1.6,1.3,295.1351,-1.0843,-1.7706,,,,,,,
51,2026-08-02T14:03:16.834000+00:00,5834,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0753,1.6,1.3,287.64,1.1595,0.3962,,,,,,,
52,2026-08-02T14:03:16.933000+00:00,5933,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0705,1.6,1.3,281.1668,2.4668,-2.6972,,,,,,,
53,2026-08-02T14:03:17.032000+00:00,6032,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0745,1.6,1.3,282.7934,-2.573,-0.4992,,,,,,,
54,2026-08-02T14:03:17.130000+00:00,6130,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0779,1.6,1.3,282.2661,0.7737,2.4713,,,,,,,
55,2026-08-02T14:03:17.230000+00:00,6230,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0814,1.6,1.3,288.0601,-3.8589,-1.4968,,,,,,,
56,2026-08-02T14:03:17.329000+00:00,6329,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0801,1.6,1.3,292.3132,-2.1818,0.4756,,,,,,,
57,2026-08-02T14:03:17.427000+00:00,6427,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0748,1.6,1.3,298.4138,-8.3622,-1.8544,,,,,,,
58,2026-08-02T14:03:17.527000+00:00,6527,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0743,1.6,1.3,302.6348,-4.8858,-0.4833,,,,,,,
59,2026-08-02T14:03:17.628000+00:00,6628,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0788,1.6,1.3,295.8739,3.0918,-0.1069,,,,,,,
60,2026-08-02T14:03:17.726000+00:00,6726,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0775,1.6,1.3,300.6115,-2.019,0.2545,,,,,,,
61,2026-08-02T14:03:17.824000+00:00,6824,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0762,1.6,1.3,298.4968,-5.5643,1.4071,,,,,,,
62,2026-08-02T14:03:17.922000+00:00,6922,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0747,1.6,1.3,298.9858,-0.2353,-2.1221,,,,,,,
63,2026-08-02T14:03:18.023000+00:00,7023,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0724,1.6,1.3,304.2829,1.3942,-2.1017,,,,,,,
64,2026-08-02T14:03:18.122000+00:00,7122,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0734,1.6,1.3,301.3935,-12.5127,-2.026,,,,,,,
65,2026-08-02T14:03:18.221000+00:00,7221,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0752,1.6,1.3,301.952,-4.8209,-2.1413,,,,,,,
66,2026-08-02T14:03:18.319000+00:00,7319,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0786,1.6,1.3,304.8189,-0.3751,-0.3732,,,,,,,
67,2026-08-02T14:03:18.420000+00:00,7420,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.084,1.6,1.3,297.0656,-1.5461,-2.3543,,,,,,,
68,2026-08-02T14:03:18.518000+00:00,7518,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0796,1.6,1.3,312.0763,1.8201,0.2711,,,,,,,
69,2026-08-02T14:03:18.617000+00:00,7617,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0693,1.6,1.3,315.5072,-1.3287,0.606,,,,,,,
70,2026-08-02T14:03:18.718000+00:00,7718,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0795,1.6,1.3,317.843,-1.0258,1.4032,,,,,,,
71,2026-08-02T14:03:18.820000+00:00,7820,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.082,1.6,1.3,322.6762,7.1903,1.2137,,,,,,,
72,2026-08-02T14:03:18.918000+00:00,7918,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0883,1.6,1.3,325.1317,-5.6607,0.0701,,,,,,,
73,2026-08-02T14:03:19.017000+00:00,8017,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0899,1.6,1.3,315.9941,-1.1202,0.7208,,,,,,,
74,2026-08-02T14:03:19.116000+00:00,8116,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0918,1.6,1.3,327.5899,1.4376,-1.9279,,,,,,,
75,2026-08-02T14:03:19.215000+00:00,8215,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0912,1.6,1.3,335.1015,2.6337,-0.166,,,,,,,
76,2026-08-02T14:03:19.315000+00:00,8315,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0933,1.6,1.3,337.9726,-1.9386,-0.1241,,,,,,,
77,2026-08-02T14:03:19.414000+00:00,8414,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0865,1.6,1.3,339.0327,3.6272,0.0895,,,,,,,
78,2026-08-02T14:03:19.513000+00:00,8513,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0889,1.6,1.3,343.9145,0.5684,-0.3998,,,,,,,
79,2026-08-02T14:03:19.614000+00:00,8614,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0906,1.6,1.3,342.0499,-11.66,0.2856,,,,,,,
80,2026-08-02T14:03:19.714000+00:00,8714,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0947,1.6,1.3,342.5182,1.655,-1.4825,,,,,,,
81,2026-08-02T14:03:19.813000+00:00,8813,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0909,1.6,1.3,348.2186,-1.6931,1.1186,,,,,,,
82,2026-08-02T14:03:19.914000+00:00,8914,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0821,1.6,1.3,344.2488,-0.855,2.5022,,,,,,,
83,2026-08-02T14:03:20.013000+00:00,9013,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0842,1.6,1.3,347.3253,3.0012,-2.2838,,,,,,,
84,2026-08-02T14:03:20.115000+00:00,9115,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0812,1.6,1.3,346.3104,-9.4312,-0.602,,,,,,,
85,2026-08-02T14:03:20.215000+00:00,9215,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0816,1.6,1.3,345.0021,1.0445,3.5718,,,,,,,
86,2026-08-02T14:03:20.316000+00:00,9316,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0851,1.6,1.3,349.8674,-12.3109,0.8435,,,,,,,
87,2026-08-02T14:03:20.414000+00:00,9414,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.091,1.6,1.3,355.5658,-4.8248,-1.1578,,,,,,,
88,2026-08-02T14:03:20.515000+00:00,9515,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0948,1.6,1.3,352.6651,-7.2083,0.6399,,,,,,,
89,2026-08-02T14:03:20.613000+00:00,9613,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0986,1.6,1.3,356.9703,-0.2153,-0.1675,,,,,,,
90,2026-08-02T14:03:20.713000+00:00,9713,p01,A,1,calm_demo_001_curved,head_pose,change,,,,,,,,0.0986,1.6,1.3,27.9703,-4.2,0.9,,,,,,,
91,2026-08-02T14:03:20.746000+00:00,9746,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0989,1.6,1.3,358.6245,-8.7731,-0.105,,,,,,,
92,2026-08-02T14:03:20.848000+00:00,9848,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0904,1.6,1.3,348.1204,0.3072,0.7392,,,,,,,
93,2026-08-02T14:03:20.949000+00:00,9949,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.087,1.6,1.3,354.7745,1.6191,0.9677,,,,,,,
94,2026-08-02T14:03:21.047000+00:00,10047,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0898,1.6,1.3,352.0276,0.2098,2.9956,,,,,,,
95,2026-08-02T14:03:21.149000+00:00,10149,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0868,1.6,1.3,356.9946,0.2915,0.2076,,,,,,,
96,2026-08-02T14:03:21.250000+00:00,10250,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0926,1.6,1.3,6.1515,-5.3453,-0.9983,,,,,,,
97,2026-08-02T14:03:21.351000+00:00,10351,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0913,1.6,1.3,11.9023,-2.8776,-0.0825,,,,,,,
98,2026-08-02T14:03:21.451000+00:00,10451,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0862,1.6,1.3,3.1799,1.362,0.8657,,,,,,,
99,2026-08-02T14:03:21.553000+00:00,10553,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0884,1.6,1.3,11.0578,2.8377,-0.6838,,,,,,,
100,2026-08-02T14:03:21.653000+00:00,10653,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0913,1.6,1.3,12.4038,-4.5073,-1.7053,,,,,,,
101,2026-08-02T14:03:21.753000+00:00,10753,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0871,1.6,1.3,14.0767,-2.4651,-1.7747,,,,,,,
102,2026-08-02T14:03:21.853000+00:00,10853,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0854,1.6,1.3,6.3811,2.2041,-1.766,,,,,,,
103,2026-08-02T14:03:21.951000+00:00,10951,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0802,1.6,1.3,8.2299,-4.7014,-3.0182,,,,,,,
104,2026-08-02T14:03:22.051000+00:00,11051,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0803,1.6,1.3,12.8149,-3.3021,3.6739,,,,,,,
105,2026-08-02T14:03:22.151000+00:00,11151,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0817,1.6,1.3,11.2636,-8.2912,-0.4034,,,,,,,
106,2026-08-02T14:03:22.250000+00:00,11250,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0827,1.6,1.3,15.3294,-2.158,2.6418,,,,,,,
107,2026-08-02T14:03:22.350000+00:00,11350,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0801,1.6,1.3,26.6346,-12.2372,0.047,,,,,,,
108,2026-08-02T14:03:22.449000+00:00,11449,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0772,1.6,1.3,28.9607,3.8768,0.565,,,,,,,
109,2026-08-02T14:03:22.551000+00:00,11551,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0778,1.6,1.3,23.3095,-5.1597,0.0586,,,,,,,
110,2026-08-02T14:03:22.651000+00:00,11651,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0762,1.6,1.3,17.101,-4.4483,-3.5815,,,,,,,
111,2026-08-02T14:03:22.753000+00:00,11753,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0801,1.6,1.3,18.2594,-6.6514,-1.6115,,,,,,,
112,2026-08-02T14:03:22.854000+00:00,11854,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0804,1.6,1.3,24.1671,5.759,2.5272,,,,,,,
113,2026-08-02T14:03:22.952000+00:00,11952,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0784,1.6,1.3,20.0064,-1.6542,-0.5272,,,,,,,
114,2026-08-02T14:03:23.050000+00:00,12050,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0676,1.6,1.3,30.5687,-6.4723,-0.2439,,,,,,,
115,2026-08-02T14:03:23.152000+00:00,12152,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0758,1.6,1.3,29.5147,0.943,-0.4026,,,,,,,
116,2026-08-02T14:03:23.254000+00:00,12254,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0712,1.6,1.3,26.1615,-4.3358,2.0374,,,,,,,
117,2026-08-02T14:03:23.355000+00:00,12355,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.074,1.6,1.3,20.1832,-2.3891,0.6711,,,,,,,
118,2026-08-02T14:03:23.456000+00:00,12456,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0726,1.6,1.3,23.0574,-3.0514,-1.2163,,,,,,,
119,2026-08-02T14:03:23.558000+00:00,12558,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0761,1.6,1.3,27.8391,0.8274,-0.2992,,,,,,,
120,2026-08-02T14:03:23.657000+00:00,12657,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0703,1.6,1.3,26.5913,-3.4953,0.7544,,,,,,,
121,2026-08-02T14:03:23.758000+00:00,12758,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0713,1.6,1.3,25.8757,-1.8371,0.9456,,,,,,,
122,2026-08-02T14:03:23.858000+00:00,12858,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0648,1.6,1.3,28.5767,0.523,-2.4989,,,,,,,
123,2026-08-02T14:03:23.960000+00:00,12960,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0675,1.6,1.3,13.5321,-0.1533,-1.7248,,,,,,,
124,2026-08-02T14:03:24.058000+00:00,13058,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0618,1.6,1.3,13.9522,-5.5699,-2.012,,,,,,,
125,2026-08-02T14:03:24.159000+00:00,13159,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0616,1.6,1.3,14.2502,-0.4271,-2.1072,,,,,,,
126,2026-08-02T14:03:24.258000+00:00,13258,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0639,1.6,1.3,22.1346,-2.6772,0.8915,,,,,,,
127,2026-08-02T14:03:24.358000+00:00,13358,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0637,1.6,1.3,22.2623,-3.6561,0.5219,,,,,,,
128,2026-08-02T14:03:24.460000+00:00,13460,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0617,1.6,1.3,24.2652,-7.4352,1.1806,,,,,,,
129,2026-08-02T14:03:24.559000+00:00,13559,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0705,1.6,1.3,17.2433,-4.2605,0.3009,,,,,,,
130,2026-08-02T14:03:24.658000+00:00,13658,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0731,1.6,1.3,11.5555,2.2787,-2.0791,,,,,,,
131,2026-08-02T14:03:24.759000+00:00,13759,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0723,1.6,1.3,17.0838,4.4842,1.3021,,,,,,,
132,2026-08-02T14:03:24.860000+00:00,13860,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0704,1.6,1.3,22.5658,-1.1791,-0.8107,,,,,,,
133,2026-08-02T14:03:24.962000+00:00,13962,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0758,1.6,1.3,31.0623,-4.3379,0.2969,,,,,,,
134,2026-08-02T14:03:25.063000+00:00,14063,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0728,1.6,1.3,36.0527,-1.5353,-1.3237,,,,,,,
135,2026-08-02T14:03:25.163000+00:00,14163,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0753,1.6,1.3,36.7242,-3.025,-1.2629,,,,,,,
136,2026-08-02T14:03:25.261000+00:00,14261,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0659,1.6,1.3,30.7045,2.7468,2.1911,,,,,,,
137,2026-08-02T14:03:25.362000+00:00,14362,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0666,1.6,1.3,31.8563,-3.8587,-1.5638,,,,,,,
138,2026-08-02T14:03:25.463000+00:00,14463,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0777,1.6,1.3,34.1873,2.5176,-0.2588,,,,,,,
139,2026-08-02T14:03:25.563000+00:00,14563,p01,A,1,calm_demo_001_curved,head_pose,sample,,,,,,,,0.0694,1.6,1.3,33.4956,-1.1262,-3.9171,,,,,,,
